регион;окато;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Белгородская область;14000000000;15666;16810;16911;16669;16894;17913;17883;17822;24180;17261;15113;14318;17574;17618;17662;17707;17751;17795
Брянская область;15000000000;13282,99;14319;14406;13773;13806;14376;13855;13657,99;17864;13379;11552,99;11124;12957;12829;12702;12575;12448;12321
Владимирская область;17000000000;14679;15699;15520;15540;15644;16445;15777;15817;14067;15662;13395;12658;13950;13777;13604;13431;13258;13085
Воронежская область;20000000000;20568,99;22421,99;23560,99;23819,99;23826,97;25373,99;24980,97;25331,99;16284;24938;22423;21381,99;22569;22516;22464;22412;22359;22307
Ивановская область;24000000000;10617;11138;11329,98;11131;11035;11581;11769;11694,97;25923,98;11184;9877;9135;13279;13445;13611;13777;13943;14109
Калужская область;29000000000;10049;10519;10553;11179,98;10953,99;11834,99;11798;11882;11761;12268;10956;10353;11742;11829;11916;12003;12091;12178
Костромская область;34000000000;7457;7867;8207;8117;8128;8484;8384;8277;12803;7836;6914,99;6208;8197;8194;8190;8186;8182;8178
Курская область;38000000000;11704;12442,99;12554;12558;12964;13318;13077;13118;8156;12366;10783;10274;10720;10532;10344;10156;9968;9780
Липецкая область;42000000000;11984,98;12603,99;12678;12798;12545;13546;13167;13450;13047;13102,99;11565;10911;12284;12233;12182;12131;12080;12029
Московская область;46000000000;63452,99;70384,98;74137,99;76951,99;76487;83382;85385,99;90040,98;13468;96807,98;88882,99;82947,97;81213;82139;83066;83992;84918;85844
Орловская область;54000000000;7914;8345;8447;8673;8237;8650;8604;8434;94687,99;8298;7143;6734,99;24569;25988;27407;28826;30245;31664
Рязанская область;61000000000;10953;11708,99;11650;11914,99;11775;12350,99;12361;12515;8569;12800,99;11031;10259;11032;10961;10891;10820;10749;10679
Смоленская область;66000000000;9436;9950;10496,99;10274;10229;10289;10346;10412;12633;9858;8658;7819;9545;9469;9394;9319;9244;9169
Тамбовская область;68000000000;9854,99;10190;10176;10337;10056;10394;10308;10453;10190;10038;8908;8249;9252;9148;9043;8939;8835;8731
