регион;окато;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Белгородская область;14000000000;177,69379;166,60889;152,43626;180,4294;155,84863;120,76979;111,51994;111;100;90;80;70;60
Брянская область;15000000000;166,68408;165,20965;163,6521117;160,55512;140,86257;129,6949617;76,48092;91;78;65;52;39;26
Владимирская область;17000000000;174,53935;160,64891;154,76211;148,80961;142,32346;114,90785;97,82214;94;82;70;58;46;34
Воронежская область;20000000000;235,8083917;258,6961451;212,6895317;173,08372;192,57454;169,45709;160,5110317;139;124;109;94;79;63
Ивановская область;24000000000;101,77423;116,30627;106,0967651;137,3648634;97,65072;62,95191;57,85205;61;53;44;35;26;17
Калужская область;29000000000;153,4930217;142,38834;122,62606;143,28363;118,71844;81,00548;78,29899;69;57;44;31;19;6
Костромская область;34000000000;90,00972;97,72672;97,42391;93,23249;82,17588;69,5694217;53,56864;57;51;44;38;31;25
Курская область;38000000000;136,68994;148,00791;119,12394;84,08148;109,99578;93,51589;83,07542;70;60;50;40;30;20
Липецкая область;42000000000;152,33518;137,26261;145,0635;136,92301;134,0814617;72,72895;68,87813;65;51;37;23;9;-4
Московская область;46000000000;845,97106;841,6423517;868,8159734;496,11444;704,9665834;623,5388617;571,7427551;504;453;402;351;301;250
Орловская область;54000000000;113,4795;99,34932;88,86822;345,9670117;77,48334;63,21469;54,0600217;82;73;64;54;45;36
Рязанская область;61000000000;154,9533017;145,98163;114,41745;102,25027;94,2268017;82,21773;79,03297;56;43;29;16;3;-10
Смоленская область;66000000000;128,11787;121,27918;98,46596;114,75139;91,89814;72,50214;74,12777;62;52;43;33;24;14
Тамбовская область;68000000000;73,41502;86,17164;76,58199;66,8377;66,40754;47,20964;54,34467;46;41;36;30;25;20
Тверская область;28000000000;193,79708;193,71602;139,0538;127,33578;148,18216;95,2154817;88,94686;69;51;33;15;-2;-20
Тульская область;70000000000;145,86217;158,7613;147,03298;148,8274;143,28485;130,97294;94,0381734;107;100;92;84;77;69
Ярославская область;78000000000;165,85752;163,50276;126,99053;137,75362;122,29617;120,6984017;75,1769;78;65;52;39;26;13
Город Москва столица Российской Федерации город федерального значения;45000000000;1432,067962;1380,93926;1223,359749;896,78576;1234,063047;1155,9057;1077,304874;985;931;877;824;770;716
Республика Карелия;86000000000;82,5834;71,51649;74,19286;446,9636151;73,23915;62,3270517;51,1101517;106;102;98;94;90;86
Республика Коми;87000000000;108,0070717;108,3551334;98,8627134;73,87873;95,8063417;69,63778;64,34366;58;50;43;35;27;20
Архангельская область;11000000000;153,7801;161,28485;143,58584;123,38551;119,96243;111,0608417;86,9195417;82;70;58;47;35;24
Вологодская область;19000000000;172,2609334;201,8722134;159,50902;141,35823;138,46657;117,9488234;92,2650017;84;69;54;39;23;8
Калининградская область;27000000000;111,17913;119,2612;143,32528;110,12879;101,23088;92,42453;85,68509;84;78;72;65;59;53
Ленинградская область;41000000000;122,10675;117,03883;133,66527;142,57715;92,24178;92,1306;66,93351;72;63;54;45;36;26
Мурманская область;47000000000;83,1684;79,19387;77,65617;78,75017;54,53165;60,6421917;54,5498117;48;43;38;33;28;22
Новгородская область;49000000000;82,72409;83,57976;73,25148;64,84012;52,2062;54,2742917;42,60927;36;29;21;14;7;0
Псковская область;58000000000;249,4306617;238,1783917;236,2183934;75,32789;260,2475417;221,3591117;202,0916717;190;184;179;173;168;163
Город Санкт-Петербург город федерального значения;40000000000;296,00648;299,9526534;300,1083317;511,15175;299,42633;258,5415217;254,76613;287;280;272;265;257;250
Республика Адыгея (Адыгея);79000000000;56,04731;49,71054;60,25491;57,8847617;34,88236;41,56924;25,61169;27;22;18;13;8;3
Республика Калмыкия;85000000000;31;34;38;41,81909;90,07585;74,32246;76,50277;93;103;112;122;132;141
Республика Крым;35000000000;195,3576734;198,7933217;208,2058451;218,78133;327,8709234;303,47982;258,5604417;318;337;355;374;392;411
Краснодарский край;3000000000;490,31032;455,56886;452,06128;606,90676;407,3841;328,86843;346,394;336;310;284;258;232;206
Астраханская область;12000000000;227,6131034;215,4584634;231,70291;161,09625;163,3379551;145,23959;137,4030634;114;97;80;63;46;29
Волгоградская область;18000000000;473,6934217;433,7640585;386,9232051;273,4339751;307,3604351;231,3256551;232,3667417;161;118;75;32;-11;-54
Ростовская область;60000000000;443;476;405;481,7431517;342,30747;301,71135;224,36993;229;191;153;115;77;39
Город федерального значения Севастополь;67000000000;158,5903134;157,8658051;161,6354217;41,4829017;175,7748634;162,4112317;148,7267434;142;142;142;142;141;141
Республика Дагестан;82000000000;892,77362;737,07461;719,75482;816,86892;559,04469;466,6399717;421,40511;356;281;205;130;54;-20
Республика Ингушетия*;26000000000;155,83043;169,7945934;177,15406;123,54742;120,5005017;89,3903317;77,79323;66;49;33;17;1;-14
Кабардино-Балкарская Республика;83000000000;133,2025317;110,4827017;107,0949634;122,73441;97,7771651;66,56035;67,08491;58;47;37;26;16;5
Карачаево-Черкесская Республика;91000000000;94,19327;97,74229;84,6517017;65,4224617;78,06228;61,44736;59,80111;51;44;38;31;25;18
Республика Северная Осетия-Алания;90000000000;218,3784517;204,41163;204,09002;126,26503;155,5971334;133,5887;121,5688051;97;80;63;46;28;11
Чеченская Республика*;96000000000;853,3933834;680,19332;613,3175834;466,7212534;411,5185417;366,8617717;281,46216;161;70;-20;-111;-202;-293
Ставропольский край;7000000000;560,9614817;508,0566917;552,2630817;397,8534351;465,6535834;400,4057151;321,1344917;312;275;239;202;166;129
Республика Башкортостан;80000000000;489,85003;482,583;490,583;603,52468;366,07461;367,05601;267,04954;291;255;218;182;145;108
Республика Марий Эл;88000000000;105,11544;96,39278;105,15506;104,16133;72,56925;56,4816917;61,77139;51;42;33;25;16;8
Республика Мордовия;89000000000;222,6064834;220,9430817;209,4326717;56,25512;193,0639617;171,1653934;153,0855434;128;117;105;94;82;70
Республика Татарстан (Татарстан);92000000000;421,54563;458,91656;431,58545;504,02417;356,49792;300,80982;254,5252;262;230;198;166;134;102
Удмуртская Республика;94000000000;244,26181;229,11182;229,85712;187,81185;158,42049;124,47001;109,96263;85;61;36;12;-11;-36
Чувашская Республика - Чувашия;97000000000;199,9369817;192,6737917;186,2397917;105,50054;158,5419917;137,57132;134,5500334;111;99;87;75;63;51
Пермский край;57000000000;326;327;292;339,8067734;214;172;122;113;77;41;6;-29;-65
Кировская область;33000000000;166,84681;144,50903;122,39967;69;128,26201;96,96061;93,8956917;73;62;51;40;29;18
Нижегородская область;22000000000;451,0332017;436,0954334;413,70677;319,84782;360,5662517;279,8793334;273,6023934;233;201;169;137;105;73
Оренбургская область;53000000000;371,1528234;381,5830117;369,1736717;310,4574734;247,9259851;242,95699;181,9656517;162;128;93;59;24;-9
Пензенская область;56000000000;146,81891;119,30668;125,70288;143,6181817;115,7794617;83,86661;78,4318;75;65;54;44;34;24
Самарская область;36000000000;378,2341034;392,9547717;372,6913817;268,00104;319,89052;258,7622934;244,4833617;216;190;164;138;112;87
Саратовская область;63000000000;281,2700351;273,3142768;287,3370017;315,95359;253,2787251;195,83328;167,98731;178;159;140;121;102;83
Ульяновская область;73000000000;140,08594;167,87834;164,54339;178,3313417;141,33215;100,55895;95,9543117;99;89;79;68;58;47
Курганская область;37000000000;143,0919717;140,0806517;138,71662;110,52075;101,26968;70,87651;82,44554;61;48;35;22;10;-2
Свердловская область;65000000000;619,90633;607,0334517;570,93625;372,8138217;518,4631451;415,6398617;378,30655;331;290;249;207;166;124
Тюменская область;71000000000;563,8604117;577,7999434;514,0459534;519,02034;426,90147;396,60148;331,6517534;311;271;230;189;148;107
Челябинская область;75000000000;588,17455;555,5897217;488,0443134;486,8112917;406,9317134;371,0149834;315,1351968;277;232;186;141;96;50
Республика Алтай;84000000000;72,30666;70,52841;54,58501;178,94552;51,06813;43,74369;34,42673;47;41;35;29;23;17
Республика Бурятия;81000000000;181,01378;198,52035;156,50903;130,38226;151,64224;133,51145;122,34266;109;97;86;75;64;53
Республика Тыва;93000000000;171,41259;166,0928;141,50982;159,05623;105,00143;81,7448817;81,49971;61;44;27;10;-6;-23
Республика Хакасия;95000000000;135,06349;106,70408;93,0928;92,19387;87,48536;53,85346;44,6365034;32;19;5;-8;-21;-35
Алтайский край;1000000000;422,5268217;383,8646017;357,9440134;251,38813;291,6935817;251,2356934;240,4738417;188;157;126;94;63;32
Забайкальский край;76000000000;179,10798;204,44576;176,4118;216,0839217;141,80456;123,48881;135,42574;121;109;97;86;74;62
Красноярский край;4000000000;511,3072834;454,7487634;462,0430551;305,51853;354,9848917;324,63763;281,72293;234;196;158;120;83;45
Иркутская область;25000000000;479,0002517;482,18908;432,22506;377,59034;324,6914;320,6193451;309,5544834;255;221;188;154;121;87
Кемеровская область - Кузбасс;32000000000;435,4758917;380,6693417;361,2223734;337,1146617;331,9428034;283,1880217;210,92425;206;174;141;109;77;45
Новосибирская область;50000000000;413,6608234;373,9210117;368,9152951;332,1576834;344,3606151;269,5359217;255,5183034;235;210;185;159;134;109
Омская область;52000000000;315,4142217;297,62468;298,3594417;305,4265434;243,7430734;222,0258917;204,43748;192;173;154;134;115;96
Томская область;69000000000;165,70672;144,66609;113,49912;150,88706;109,25958;92,75422;94,03176;78;66;55;43;32;20
Республика Саха (Якутия);98000000000;209,84964;207,41099;183,31942;172,36894;152,64992;114,48982;108,45222;89;71;52;33;15;-3
Камчатский край;30000000000;58,76714;54,84072;55,94543;85,57897;48,54357;32,50779;29,77765;32;27;22;17;12;7
Приморский край;5000000000;321,3632151;357,5755217;300,2801351;203,7445;222,6549617;192,42151;154,70188;120;88;55;23;-9;-41
Хабаровский край;8000000000;256,85692;284,02854;232,21532;191,62366;157,78435;140,29981;119,71602;87;59;31;4;-23;-51
Амурская область;10000000000;194,20439;148,4968617;134,5799417;137,12092;83,36691;73,6869;71,15587;38;18;-1;-22;-42;-62
Магаданская область;44000000000;20,42511;22,38549;17,20154;39,51023;10,58177;10,50253;8,9903;9;6;4;2;0;-2
Сахалинская область;64000000000;55,8742517;56,1176034;59,89025;45,96099;44,66284;47,8402917;34,0620134;35;31;28;24;21;17
Еврейская автономная область;99000000000;44,91935;51,69295;42,66748;48,8137834;42,26279;26,43077;23,31757;23;19;15;11;6;2
Чукотский автономный округ;77000000000;18,03477;17,88761;16,90742;18,64767;12,89893;8,86214;8,75743;7;5;3;2;0;-1
Сумм;0;21610,22428;20861,52679;19571,42075;18240,88433;16734,39988;14310,13137;12678,97053;11610;10084;8558;7031;5505;3979
