регион;окато;количество
Алтайский край;1000000000;1
Республика Башкортостан;80000000000;1
Волгоградская область;18000000000;1
Республика Дагестан;82000000000;2
Забайкальский край;76000000000;1
Республика Ингушетия*;26000000000;1
Калининградская область;27000000000;1
Республика Калмыкия;85000000000;1
Кемеровская область - Кузбасс;32000000000;1
Краснодарский край;3000000000;1
Курганская область;37000000000;1
Липецкая область;42000000000;1
Республика Мордовия;89000000000;1
Московская область;46000000000;5
Приморский край;5000000000;1
Ростовская область;60000000000;1
Рязанская область;61000000000;2
Саратовская область;63000000000;1
Ставропольский край;7000000000;1
Тверская область;28000000000;1
Томская область;69000000000;1
Удмуртская Республика;94000000000;1
Ярославская область;78000000000;1
