;;2010 г.;2011 г.;2012 г.;2013 г.;2014 г.;2015 г.;2016 г.;2017 г.;2018 г.
Белгородская область;14000000000;;;2,83;2,18;1,12;2,48;1,45;1,52;1,82
Брянская область;15000000000;;;4,13;4,26;4,26;3,84;2,84;3,03;1,17
Владимирская область;17000000000;;;3,43;2,54;2,78;2,52;2,94;1,35;1,97
Воронежская область;20000000000;;;2,54;3,17;1,98;1,78;1,76;1,52;1,44
Ивановская область;24000000000;;;1,97;2,64;2,06;1,53;2,15;0,61;1,43
Калужская область;29000000000;;;6,39;4,83;3,79;3,84;2,94;1,28;1,06
Костромская область;34000000000;;;2,80;2,75;3,16;2,58;2,68;2,90;2,41
Курская область;38000000000;;;2,22;2,15;1,76;1,23;1,53;1,77;1,56
Липецкая область;42000000000;;;2,54;2,97;2,02;2,83;2,90;0,95;1,10
Московская область;46000000000;;;3,40;2,97;3,02;1,78;1,57;1,13;1,11
Орловская область;54000000000;;;5,12;3,17;2,96;3,62;1,93;1,96;1,04
Рязанская область;61000000000;;;4,30;3,97;2,81;2,23;1,56;1,09;0,78
Смоленская область;66000000000;;;5,50;4,54;3,36;3,06;2,95;1,84;2,56
Тамбовская область;68000000000;;;1,62;1,27;1,13;1,07;1,19;0,23;1,09
Тверская область;28000000000;;;3,13;3,39;1,82;1,97;2,42;1,64;1,98
Тульская область;70000000000;;;2,56;2,33;2,70;1,64;2,29;3,37;1,79
Ярославская область;78000000000;;;3,86;2,94;2,31;2,46;1,76;1,73;0,97
Город Москва столица Российской Федерации город федерального значения;45000000000;;;3,17;2,76;2,06;1,84;1,83;1,77;1,42
Республика Карелия;86000000000;;;4,08;2,65;3,20;2,98;3,19;2,80;1,98
Республика Коми;87000000000;;;1,12;2;1,38;1,44;1,69;1,34;1,52
Архангельская область;11000000000;;;2,76;2,94;1,87;2,59;2,20;2,25;2,40
Ненецкий автономный округ (Архангельская область);11100000000;;;0;1,42;0;2,61;0;1,49;1,62
Вологодская область;19000000000;;;4,20;5,28;3,71;1,83;3,24;2,89;2,11
Калининградская область;27000000000;;;2,60;3,44;2,79;2,58;1,64;1,20;1,36
Ленинградская область;41000000000;;;2,29;2,44;2,43;1,93;1,47;1,40;0,86
Мурманская область;47000000000;;;3,13;3,58;2,54;2,09;1,76;2,69;2,85
Новгородская область;49000000000;;;3,66;3,92;2,02;2,31;1,67;2,40;2,22
Псковская область;58000000000;;;3,91;4,01;1,82;1,82;1,53;1,65;1,88
Город Санкт-Петербург город федерального значения;40000000000;;;1,84;1,60;1,53;1,48;1,62;1,44;1,39
Республика Адыгея (Адыгея);79000000000;;;2,79;1,98;2,11;3,38;1,66;1,25;1,33
Республика Калмыкия;85000000000;;;3,26;4,12;3,28;2,63;2,02;0,66;2,62
Республика Крым;35000000000;;;;;2,14;2,75;1,79;1,77;1,62
Краснодарский край;03000000000;;;2,63;2,29;2,54;2,08;1,78;1,69;1,69
Астраханская область;12000000000;;;3,75;3,13;4,01;2,76;1,55;2,20;1,27
Волгоградская область;18000000000;;;4,45;4,13;2,80;2,22;1,79;1,23;1,44
Ростовская область;60000000000;;;3,98;3,65;2,82;2,62;1,88;1,49;1,46
Город федерального значения Севастополь;67000000000;;;;;2,25;2;1,31;1,45;0,45
Республика Дагестан;82000000000;;;7,80;5,84;5,66;5,81;4,46;3,57;3,24
Республика Ингушетия*;26000000000;;;7,51;7,26;7,81;7,05;4,90;3,04;2,11
Кабардино-Балкарская Республика;83000000000;;;3,18;1,65;2,16;2,06;1,57;0,72;1,38
Карачаево-Черкесская Республика;91000000000;;;5,21;3,67;4,59;2,94;3,05;2,73;2,80
Республика Северная Осетия-Алания;90000000000;;;6,91;5,48;6,11;4;3,23;2,34;2,29
Чеченская Республика*;96000000000;;;14,02;10,71;8,61;6,43;4,44;3,64;2,70
Ставропольский край;07000000000;;;5,25;4,19;4,92;3,55;3,88;2,85;2,09
Республика Башкортостан;80000000000;;;3,04;3,19;2,81;2,54;2,04;2,86;1,62
Республика Марий Эл;88000000000;;;3,23;2,08;2,98;2,62;1,89;2,33;2,71
Республика Мордовия;89000000000;;;4,38;3,51;1,60;0,51;1,01;1,02;0,90
Республика Татарстан (Татарстан);92000000000;;;3,02;3,01;3,20;3;2,66;2,46;2,14
Удмуртская Республика;94000000000;;;3,93;2,85;2,13;2,44;1,81;1,90;1,28
Чувашская Республика - Чувашия;97000000000;;;1,02;0,86;1,22;0,82;1,15;0,79;1,38
Пермский край;57000000000;;;3,09;3,18;2,52;1,78;1,88;1,82;2,17
Кировская область;33000000000;;;2,57;2,29;1,37;1,63;2,39;1,24;1,90
Нижегородская область;22000000000;;;4,36;3,74;3,01;2,77;2,90;2,58;2,34
Оренбургская область;53000000000;;;4,93;4,80;3,86;2,75;2,17;3,05;2,02
Пензенская область;56000000000;;;2,88;1,72;1,64;1,24;1,39;1,01;1,57
Самарская область;36000000000;;;3,11;3,36;2,85;2,34;2,42;1,62;1,60
Саратовская область;63000000000;;;2,61;2,10;2,57;2,37;2,06;1,57;2,02
Ульяновская область;73000000000;;;2,70;4;3,33;1,73;3,09;2,15;1,59
Курганская область;37000000000;;;3,85;3,07;3,12;1,47;1,69;0,95;1,62
Свердловская область;65000000000;;;2,34;2,39;1,90;2,06;1,85;1,63;1,87
Тюменская область;71000000000;;;1,74;2,20;1,49;1,75;1,24;1,23;0,89
Челябинская область;75000000000;;;3,55;3,12;2,42;2,25;2,25;2,06;2,10
Республика Алтай;84000000000;;;4,03;4,28;2,72;4,47;4,62;2,62;4,18
Республика Бурятия;81000000000;;;2,63;2,63;1,81;2,13;1,43;1,89;1,08
Республика Тыва;93000000000;;;3,74;4,07;2,90;2,14;2,58;1,57;1,53
Республика Хакасия;95000000000;;;5,71;5,01;2,95;1,78;2,50;1,20;0,64
Алтайский край;01000000000;;;4,26;3,88;3,92;3,46;3,38;3,01;2,25
Забайкальский край;76000000000;;;2,24;2,99;2,75;1,85;2,16;2,09;1,85
Красноярский край;04000000000;;;3,44;3,07;3,20;2,09;2,08;2,27;2,12
Иркутская область;25000000000;;;3,20;2,98;2,88;1,90;1,91;2,29;1,98
Кемеровская область - Кузбасс;32000000000;;;2,73;1,96;1,89;2,48;2,17;2,40;1,51
Новосибирская область;50000000000;;;2,78;2,09;1,93;2,12;1,83;1,89;2,20
Омская область;52000000000;;;3,60;3,20;2,99;2,73;2,62;2,83;2,35
Томская область;69000000000;;;2,49;1,02;0,55;0,96;1,34;1,01;0,59
Республика Саха (Якутия);98000000000;;;4,55;4,30;3,47;3,24;2,48;1,13;1,67
Камчатский край;30000000000;;;6,66;7,45;5,71;4,34;4,93;3,73;2,34
Приморский край;05000000000;;;5,28;5,77;3,97;3,31;2,46;2,43;2
Хабаровский край;08000000000;;;5;3,48;2,24;1,62;1,91;1,44;0,79
Амурская область;10000000000;;;4,73;3,41;2,88;2,04;1,06;1,59;1,59
